bill_id,act_number
67235,1684-20
67511,509-20
70594,1215-20
68898,1195-20
67241,256-20
67242,257-20
67243,258-20
67245,425-20
67504,333-20
67291,314-20
67405,299-20
67251,325-20
67255,2982-20
67996,699-20
67268,554-20
67496,339-20
67272,613-20
68683,565-20
67284,454-20
67287,643-20
67605,502-20
67296,719-20
68730,573-20
69424,915-20
67781,637-20
69830,874-20
67301,427-20
67309,302-20
67310,280-20
67485,808-20
67486,342-20
68824,594-20
67316,270-20
67317,406-20
67895,912-20
67896,470-20
69577,814-20
67588,368-20
67897,809-20
67898,471-20
67587,369-20
67338,1473-20
70976,1136-20
67341,287-20
67342,365-20
67646,386-20
67350,407-20
67356,304-20
67358,759-20
68925,624-20
67361,776-20
67760,446-20
67364,421-20
67502,332-20
67365,644-20
67759,432-20
67373,399-20
67372,295-20
67375,382-20
67389,344-20
68258,927-20
67410,942-20
67984,655-20
67416,1127-20
67420,817-20
67784,445-20
67415,418-20
67503,331-20
67418,1060-20
67519,636-20
69469,762-20
68235,695-20
67432,453-20
69846,1057-20
68647,717-20
67469,394-20
67513,347-20
67467,469-20
67693,423-20
67468,2465-20
67913,694-20
67470,646-20
67903,442-20
68827,608-20
67472,326-20
67481,524-20
67666,480-20
67491,360-20
67492,307-20
67493,308-20
67506,671-20
67684,397-20
68086,489-20
67508,2657-20
67770,772-20
67521,612-20
67699,448-20
67527,786-20
67715,424-20
67533,1093-20
67542,352-20
67546,353-20
67552,531-20
67861,443-20
67553,532-20
67863,459-20
67554,475-20
67555,456-20
67557,455-20
67563,357-20
67564,358-20
67572,1850-20
68125,688-20
72532,1671-20
67576,426-20
68391,635-20
67600,364-20
68492,590-20
68493,551-20
67607,422-20
67606,457-20
67630,849-20
68083,663-20
67631,436-20
67738,419-20
67636,697-20
68876,1269-20
67647,482-20
67649,683-20
68980,1270-20
67664,387-20
67670,389-20
67674,911-20
68166,698-20
68239,611-20
67679,499-20
67691,420-20
67740,562-20
67891,478-20
67742,600-20
68236,563-20
67744,2075-20
68685,701-20
67750,468-20
67751,467-20
69128,1273-20
67769,483-20
67777,1441-20
69379,833-20
67786,621-20
67789,943-20
68367,595-20
68257,617-20
69090,1430-20
68066,913-20
69353,2849-20
69354,2548-20
68021,623-20
68188,657-20
67814,1231-20
68161,766-20
68189,658-20
68169,656-20
67817,850-20
68256,618-20
69207,1535-20
72356,1659-20
67843,1798-20
67846,481-20
67849,472-20
67860,439-20
67865,622-20
67866,437-20
67867,438-20
